Model,Accuracy,Precision,Recall,F1 Score,
VGG16,0.644635193,0.62095197,0.644635193,0.611932948,
VGG19,0.503004292,0.489129869,0.503004292,0.442447371,
MobileNetV2,0.894420601,0.897752224,0.894420601,0.895706288,
DenseNet121,0.896137339,0.897101753,0.896137339,0.895659042,
EfficientNetB0,0.908154506,0.908662708,0.908154506,0.904287795,
EfficientNetB1,0.91888412,0.918393672,0.91888412,0.917313922,
EfficientNetB2,0.921030043,0.923928127,0.921030043,0.922141259,
EfficientNetB3,0.873390558,0.877055931,0.873390558,0.873444266,
EfficientNetB3,0.912017167,0.912402153,0.912017167,0.911871248,
EfficientNetB4,0.893991416,0.893838304,0.893991416,0.892418162,
EfficientNetB5,0.867811159,0.875265504,0.867811159,0.869386148,
ResNet50,0.827038627,0.828030455,0.827038627,0.821938398,
InceptionV3,0.842918455,0.847117303,0.842918455,0.844658509,
ViTClassifier,0.756327756,0.757165122,0.745578509,0.749392108,
TNTTransformer,0.763620764,0.750572807,0.732540528,0.738070499,0.642377871
CrossViT,0.794508795,0.789088091,0.776015439,0.78086963,0.57271356
DEIT,0.87247919,0.862412702,0.85233764,0.856404658,0.329512505
InceptionResnetV2,0.925385935,0.910621571,0.918522145,0.913189399,0.159226785
efficientvit_b0,0.919382504,0.905357004,0.907178697,0.906073725,
efficientvit_b1,0.915951973,0.91800039,0.888426438,0.896526927,
efficientvit_b2,0.918524871,0.912386998,0.900251657,0.904772865,
efficientvit_b3,0.909948542,0.895408601,0.903112477,0.898249175,
efficientvit_l1,0.90651801,0.894440217,0.898028913,0.895498949,
efficientvit_l2,0.905660377,0.91405582,0.883226387,0.889184488,
efficientvit_l3,0.904802744,0.894997497,0.900112716,0.896943659,
efficientvit_m1,0.913379074,0.908374343,0.897272758,0.901230693,
efficientvit_m2,0.923670669,0.917370232,0.920163191,0.917375501,
efficientvit_m3,0.895368782,0.890778485,0.886902547,0.888232887,
efficientvit_m4,0.919382504,0.914175498,0.901951187,0.905324225,
efficientvit_m5,0.922813036,0.921477524,0.904118209,0.907978287,
